id,name,market_cap,price,circular_supply,changes_24h,max_supply,url,hist_url,changes_1h,platform_symbol,name_notation,market_url,description,logo_url,logo_filepath,changes_7d,symbol,type,platform,volume_24h,volume_7d,volume_30d,created_at,is_deleted,modified_at,crypto_compare_symbol
767,MoneyCoin,0,0.000075,,,,https://coinmarketcap.com/currencies/moneycoin/,https://coinmarketcap.com/currencies/moneycoin/historical-data/?start=20171116&end=20171117,,,moneycoin,https://coinmarketcap.com/currencies/moneycoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/moneycoin.png,/home/Alluminate/alluminate/media/logo/moneycoin.png,9.97,MONEY,currency,,,,,2017-10-10,false,2017-11-17,
1296,DCORP,6434392,0.794958,8094002,12.58,,https://coinmarketcap.com/currencies/dcorp/,https://coinmarketcap.com/currencies/dcorp/historical-data/?start=20171116&end=20171117,4.71,ETH,dcorp,https://coinmarketcap.com/currencies/dcorp/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/dcorp.png,/home/Alluminate/alluminate/media/logo/dcorp.png,-31.45,DRP,asset,Ethereum,58990,,,2017-11-10,false,2017-11-17,
303,Trollcoin,489350,0.000867,564542253,12.18,,https://coinmarketcap.com/currencies/trollcoin/,https://coinmarketcap.com/currencies/trollcoin/historical-data/?start=20171116&end=20171117,-0.74,,trollcoin,https://coinmarketcap.com/currencies/trollcoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/trollcoin.png,/home/Alluminate/alluminate/media/logo/trollcoin.png,50.32,TROLL,currency,,,,,2017-10-10,false,2017-11-17,
1111,Sphre AIR,0,0.190659,,0,"30,820,620 XID",https://coinmarketcap.com/currencies/sphre-air/,https://coinmarketcap.com/currencies/sphre-air/historical-data/?start=20171116&end=20171117,-0.23,ETH,sphre-air,https://coinmarketcap.com/currencies/sphre-air/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/sphre-air.png,/home/Alluminate/alluminate/media/logo/sphre-air.png,-10.94,XID,asset,Ethereum,108629,,,2017-10-10,false,2017-11-17,
1293,Grimcoin,10747,0.001041,10324802,1.08,"25,219,833 GRIM",https://coinmarketcap.com/currencies/grimcoin/,https://coinmarketcap.com/currencies/grimcoin/historical-data/?start=20171116&end=20171117,-0.67,,grimcoin,https://coinmarketcap.com/currencies/grimcoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/grimcoin.png,/home/Alluminate/alluminate/media/logo/grimcoin.png,-65.78,GRIM,currency,,,,,2017-11-10,false,2017-11-17,
1009,Hubii Network,3777111,0.169672,22261249,-10.52,"31,801,784 HBT",https://coinmarketcap.com/currencies/hubii-network/,https://coinmarketcap.com/currencies/hubii-network/historical-data/?start=20171116&end=20171117,-0.4,ETH,hubii-network,https://coinmarketcap.com/currencies/hubii-network/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/hubii-network.png,/home/Alluminate/alluminate/media/logo/hubii-network.png,29.35,HBT,asset,Ethereum,13792,,,2017-10-10,false,2017-11-17,
1003,TrueFlip,3449460,0.552155,6247267,-12.16,"8,924,667 TFL",https://coinmarketcap.com/currencies/trueflip/,https://coinmarketcap.com/currencies/trueflip/historical-data/?start=20171116&end=20171117,-0.53,ETH,trueflip,https://coinmarketcap.com/currencies/trueflip/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/trueflip.png,/home/Alluminate/alluminate/media/logo/trueflip.png,-5.37,TFL,asset,Ethereum,4172,,,2017-10-10,false,2017-11-17,
1292,Blockpool,0,0.208202,,-7.59,"25,173,451 BPL",https://coinmarketcap.com/currencies/blockpool/,https://coinmarketcap.com/currencies/blockpool/historical-data/?start=20171116&end=20171117,-0.63,,blockpool,https://coinmarketcap.com/currencies/blockpool/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/blockpool.png,/home/Alluminate/alluminate/media/logo/blockpool.png,-25.74,BPL,currency,,11416,,,2017-11-10,false,2017-11-17,
1263,ATLANT,2095033,0.159743,13115021,-1.34,"54,175,041 ATL",https://coinmarketcap.com/currencies/atlant/,https://coinmarketcap.com/currencies/atlant/historical-data/?start=20171116&end=20171117,-0.78,ETH,atlant,https://coinmarketcap.com/currencies/atlant/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/atlant.png,/home/Alluminate/alluminate/media/logo/atlant.png,-8.93,ATL,asset,Ethereum,9861,,,2017-11-03,false,2017-11-17,
1001,Unity Ingot,1687736,0.008355,202000000,3.66,"10,000,000,000 UNY",https://coinmarketcap.com/currencies/unity-ingot/,https://coinmarketcap.com/currencies/unity-ingot/historical-data/?start=20171116&end=20171117,-6.4,ETH,unity-ingot,https://coinmarketcap.com/currencies/unity-ingot/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/unity-ingot.png,/home/Alluminate/alluminate/media/logo/unity-ingot.png,-27.45,UNY,asset,Ethereum,17977,,,2017-10-10,false,2017-11-17,
770,Advanced Inte...,0,0.003463,,28.09,"31,411,973,669 AIB",https://coinmarketcap.com/currencies/advanced-internet-blocks/,https://coinmarketcap.com/currencies/advanced-internet-blocks/historical-data/?start=20171116&end=20171117,-0.67,,advanced-internet-blocks,https://coinmarketcap.com/currencies/advanced-internet-blocks/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/advanced-internet-blocks.png,/home/Alluminate/alluminate/media/logo/advanced-internet-blocks.png,33.03,AIB,currency,,,,,2017-10-10,false,2017-11-17,
153,Crave,2308139,1.61,1430863,-1.09,,https://coinmarketcap.com/currencies/crave/,https://coinmarketcap.com/currencies/crave/historical-data/?start=20171116&end=20171117,-0.85,,crave,https://coinmarketcap.com/currencies/crave/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/crave.png,/home/Alluminate/alluminate/media/logo/crave.png,-0.22,CRAVE,currency,,5220,,,2017-10-10,false,2017-11-17,
737,ATMCoin,0,1.53,,6.55,"10,000,000,000 ATMC",https://coinmarketcap.com/currencies/atmcoin/,https://coinmarketcap.com/currencies/atmcoin/historical-data/?start=20171116&end=20171117,-0.02,,atmcoin,https://coinmarketcap.com/currencies/atmcoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/atmcoin.png,/home/Alluminate/alluminate/media/logo/atmcoin.png,13.47,ATMC,currency,,515543,,,2017-10-10,true,2017-11-17,
1084,Casino,813719,0.813719,1000000,1.69,,https://coinmarketcap.com/currencies/casino/,https://coinmarketcap.com/currencies/casino/historical-data/?start=20171116&end=20171117,0.72,BURST,casino,https://coinmarketcap.com/currencies/casino/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/casino.png,/home/Alluminate/alluminate/media/logo/casino.png,38.53,CASINO,asset,Burst,,,,2017-10-10,false,2017-11-17,
